freq_MHz, Z_ohm
1.000000000000000056e-01,5.169360638726463897e+00
1.023292992280753627e-01,5.169728453423422465e+00
1.047128548050898500e-01,5.170100524046396195e+00
1.071519305237607078e-01,5.170476899007351079e+00
1.096478196143185063e-01,5.170857627221096209e+00
1.122018454301962898e-01,5.171242758107990056e+00
1.148153621496881688e-01,5.171632341596542837e+00
1.174897554939530325e-01,5.172026428125848341e+00
1.202264434617413003e-01,5.172425068647915403e+00
1.230268770812381063e-01,5.172828314629811963e+00
1.258925411794166171e-01,5.173236218055667024e+00
1.288249551693134987e-01,5.173648831428485195e+00
1.318256738556407570e-01,5.174066207771788939e+00
1.348962882591653312e-01,5.174488400631049423e+00
1.380384264602883826e-01,5.174915464074919313e+00
1.412537544622755326e-01,5.175347452696229311e+00
1.445439770745928221e-01,5.175784421612755537e+00
1.479108388168207389e-01,5.176226426467732011e+00
1.513561248436207374e-01,5.176673523430098456e+00
1.548816618912482734e-01,5.177125769194443450e+00
1.584893192461113987e-01,5.177583220980682910e+00
1.621810097358930003e-01,5.178045936533382410e+00
1.659586907437559655e-01,5.178513974120764196e+00
1.698243652461745856e-01,5.178987392533337619e+00
1.737800828749376247e-01,5.179466251082174288e+00
1.778279410038922925e-01,5.179950609596755129e+00
1.819700858609982486e-01,5.180440528422415980e+00
1.862087136662865516e-01,5.180936068417333118e+00
1.905460717963248229e-01,5.181437290949032715e+00
1.949844599758045471e-01,5.181944257890415351e+00
1.995262314968878903e-01,5.182457031615239629e+00
2.041737944669527460e-01,5.182975674993048898e+00
2.089296130854040867e-01,5.183500251383526880e+00
2.137962089502232488e-01,5.184030824630214696e+00
2.187761623949551759e-01,5.184567459053579519e+00
2.238721138568337821e-01,5.185110219443410884e+00
2.290867652767774598e-01,5.185659171050467364e+00
2.344228815319922554e-01,5.186214379577381628e+00
2.398832919019489862e-01,5.186775911168743924e+00
2.454708915685028525e-01,5.187343832400350685e+00
2.511886431509581796e-01,5.187918210267554286e+00
2.570395782768864490e-01,5.188499112172677563e+00
2.630267991895381963e-01,5.189086605911431782e+00
2.691534803926913799e-01,5.189680759658312326e+00
2.754228703338169049e-01,5.190281641950885927e+00
2.818382931264454827e-01,5.190889321672926826e+00
2.884031503126605611e-01,5.191503868036364544e+00
2.951209226666383634e-01,5.192125350561926034e+00
3.019951720402018758e-01,5.192753839058470433e+00
3.090295432513591734e-01,5.193389403600903620e+00
3.162277660168378857e-01,5.194032114506621944e+00
3.235936569296281040e-01,5.194682042310401648e+00
3.311311214825907734e-01,5.195339257737647820e+00
3.388441561392027679e-01,5.196003831675958473e+00
3.467368504525316641e-01,5.196675835144845657e+00
3.548133892335753048e-01,5.197355339263618035e+00
3.630780547701017436e-01,5.198042415217230428e+00
3.715352290971727922e-01,5.198737134220077216e+00
3.801893963205612570e-01,5.199439567477593727e+00
3.890451449942805007e-01,5.200149786145554565e+00
3.981071705534969252e-01,5.200867861286952554e+00
4.073802778041130668e-01,5.201593863826377451e+00
4.168693834703355305e-01,5.202327864501692822e+00
4.265795188015925610e-01,5.203069933812964010e+00
4.365158322401656021e-01,5.203820141968432900e+00
4.466835921509634821e-01,5.204578558827446244e+00
4.570881896148751844e-01,5.205345253840140352e+00
4.677351412871981196e-01,5.206120295983763135e+00
4.786300923226380344e-01,5.206903753695441672e+00
4.897788193684466385e-01,5.207695694801243391e+00
5.011872336272724660e-01,5.208496186441323061e+00
5.128613839913648276e-01,5.209305294990994817e+00
5.248074602497723173e-01,5.210123085977500068e+00
5.370317963702533337e-01,5.210949623992298108e+00
5.495408738576248453e-01,5.211784972598623611e+00
5.623413251903491838e-01,5.212629194234104979e+00
5.754399373371565929e-01,5.213482350108210817e+00
5.888436553555884689e-01,5.214344500094250101e+00
6.025595860743581111e-01,5.215215702615673798e+00
6.165950018614821948e-01,5.216096014526429236e+00
6.309573444801930275e-01,5.216985490985029728e+00
6.456542290346563018e-01,5.217884185322080981e+00
6.606934480075964400e-01,5.218792148900941008e+00
6.760829753919819218e-01,5.219709430971157360e+00
6.918309709189363055e-01,5.220636078514383271e+00
7.079457843841373554e-01,5.221572136082365034e+00
7.244359600749906702e-01,5.222517645626662208e+00
7.413102413009177161e-01,5.223472646319676116e+00
7.585775750291835484e-01,5.224437174366589609e+00
7.762471166286911695e-01,5.225411262807789115e+00
7.943282347242821562e-01,5.226394941311303555e+00
8.128305161640995147e-01,5.227388235954792073e+00
8.317637711026708569e-01,5.228391168996589400e+00
8.511380382023758795e-01,5.229403758635305266e+00
8.709635899560814742e-01,5.230426018757384554e+00
8.912509381337458958e-01,5.231457958672139696e+00
9.120108393559096527e-01,5.232499582833602503e+00
9.332543007969905657e-01,5.233550890548591461e+00
9.549925860214368845e-01,5.234611875670376335e+00
9.772372209558112255e-01,5.235682526277220639e+00
1.000000000000000000e+00,5.236762824335125188e+00
1.023292992280753655e+00,5.237852745344027561e+00
1.047128548050898500e+00,5.238952257966687398e+00
1.071519305237607078e+00,5.240061323639433333e+00
1.096478196143185091e+00,5.241179896163957075e+00
1.122018454301962898e+00,5.242307921279267369e+00
1.148153621496884158e+00,5.243445336212853469e+00
1.174897554939530409e+00,5.244592069210156637e+00
1.202264434617413169e+00,5.245748039041290944e+00
1.230268770812380952e+00,5.246913154484003528e+00
1.258925411794166171e+00,5.248087313781765850e+00
1.288249551693134931e+00,5.249270404075855545e+00
1.318256738556407459e+00,5.250462300810254668e+00
1.348962882591653312e+00,5.251662867108107591e+00
1.380384264602886768e+00,5.252871953118445347e+00
1.412537544622755270e+00,5.254089395331833501e+00
1.445439770745927888e+00,5.255315015863547323e+00
1.479108388168207222e+00,5.256548621702763491e+00
1.513561248436207096e+00,5.257790003926301026e+00
1.548816618912479681e+00,5.259038936875271020e+00
1.584893192461114042e+00,5.260295177292985791e+00
1.621810097358930003e+00,5.261558463422423948e+00
1.659586907437559766e+00,5.262828514061427931e+00
1.698243652461745912e+00,5.264105027573756423e+00
1.737800828749376247e+00,5.265387680854074048e+00
1.778279410038922981e+00,5.266676128244836441e+00
1.819700858609982541e+00,5.267970000402949715e+00
1.862087136662865516e+00,5.269268903114047831e+00
1.905460717963248340e+00,5.270572416052102582e+00
1.949844599758045582e+00,5.271880091481982333e+00
1.995262314968878847e+00,5.273191452902569409e+00
2.041737944669531846e+00,5.274505993627827571e+00
2.089296130854040978e+00,5.275823175303235857e+00
2.137962089502232654e+00,5.277142426354843430e+00
2.187761623949552092e+00,5.278463140368115702e+00
2.238721138568338098e+00,5.279784674393660282e+00
2.290867652767774487e+00,5.281106347176796056e+00
2.344228815319922887e+00,5.282427437307850582e+00
2.398832919019489918e+00,5.283747181289954575e+00
2.454708915685033244e+00,5.285064771521008176e+00
2.511886431509582351e+00,5.286379354186377277e+00
2.570395782768864823e+00,5.287690027058800979e+00
2.630267991895381297e+00,5.288995837201862393e+00
2.691534803926913799e+00,5.290295778573288032e+00
2.754228703338163609e+00,5.291588789524246828e+00
2.818382931264455049e+00,5.292873750190700832e+00
2.884031503126605944e+00,5.294149479772808142e+00
2.951209226666383856e+00,5.295414733698234677e+00
3.019951720402019202e+00,5.296668200665203941e+00
3.090295432513591845e+00,5.297908499560983309e+00
3.162277660168379523e+00,5.299134176251476980e+00
3.235936569296280929e+00,5.300343700237507782e+00
3.311311214825907623e+00,5.301535461173338071e+00
3.388441561392027346e+00,5.302707765242898219e+00
3.467368504525317086e+00,5.303858831389234751e+00
3.548133892335752826e+00,5.304986787392587999e+00
3.630780547701017547e+00,5.306089665792601551e+00
3.715352290971728255e+00,5.307165399650122239e+00
3.801893963205612792e+00,5.308211818144134675e+00
3.890451449942804896e+00,5.309226641999433838e+00
3.981071705534969585e+00,5.310207478740736953e+00
4.073802778041130779e+00,5.311151817769061090e+00
4.168693834703355527e+00,5.312057025256378573e+00
4.265795188015925277e+00,5.312920338854736357e+00
4.365158322401665458e+00,5.313738862216310643e+00
4.466835921509634488e+00,5.314509559321114018e+00
4.570881896148751622e+00,5.315229248609462331e+00
4.677351412871980862e+00,5.315894596916700188e+00
4.786300923226380455e+00,5.316502113208136038e+00
4.897788193684456282e+00,5.317048142112702713e+00
5.011872336272724660e+00,5.317528857254457897e+00
5.128613839913648498e+00,5.317940254381739784e+00
5.248074602497722729e+00,5.318278144294597887e+00
5.370317963702532893e+00,5.318538145571993780e+00
5.495408738576248453e+00,5.318715677101259587e+00
5.623413251903491172e+00,5.318805950413469930e+00
5.754399373371566817e+00,5.318803961829543070e+00
5.888436553555883357e+00,5.318704484423363077e+00
6.025595860743581333e+00,5.318502059809677718e+00
6.165950018614822170e+00,5.318190989766230281e+00
6.309573444801930719e+00,5.317765327701532208e+00
6.456542290346562574e+00,5.317218869981567231e+00
6.606934480075964622e+00,5.316545147131158444e+00
6.760829753919818330e+00,5.315737414928029203e+00
6.918309709189363055e+00,5.314788645410385648e+00
7.079457843841373332e+00,5.313691517821692578e+00
7.244359600749906036e+00,5.312438409519527838e+00
7.413102413009177383e+00,5.311021386878851835e+00
7.585775750291835706e+00,5.309432196223704992e+00
7.762471166286927904e+00,5.307662254825378234e+00
7.943282347242822006e+00,5.305702642009430647e+00
8.128305161640994925e+00,5.303544090418535362e+00
8.317637711026709013e+00,5.301176977483102348e+00
8.511380382023759239e+00,5.298591317156883918e+00
8.709635899560796091e+00,5.295776751980468156e+00
8.912509381337457626e+00,5.292722545541453272e+00
9.120108393559096527e+00,5.289417575406458738e+00
9.332543007969904991e+00,5.285850326606772676e+00
9.549925860214369067e+00,5.282008885766442674e+00
9.772372209558112033e+00,5.277880935968864762e+00
1.000000000000000000e+01,5.273453752465622202e+00
1.023292992280753744e+01,5.268714199339143534e+00
1.047128548050898544e+01,5.263648727238914304e+00
1.071519305237607078e+01,5.258243372319284070e+00
1.096478196143185180e+01,5.252483756515451851e+00
1.122018454301963075e+01,5.246355089302676689e+00
1.148153621496884114e+01,5.239842171092478296e+00
1.174897554939530231e+01,5.232929398428013634e+00
1.202264434617413080e+01,5.225600771149166768e+00
1.230268770812381085e+01,5.217839901706001982e+00
1.258925411794166216e+01,5.209630026806773451e+00
1.288249551693132311e+01,5.200954021593794607e+00
1.318256738556407370e+01,5.191794416546747115e+00
1.348962882591653312e+01,5.182133417318422808e+00
1.380384264602886724e+01,5.171952927712082371e+00
1.412537544622755448e+01,5.161234576012519781e+00
1.445439770745928065e+01,5.149959744884196056e+00
1.479108388168207178e+01,5.138109605049149486e+00
1.513561248436207052e+01,5.125665152954665515e+00
1.548816618912479726e+01,5.112607252635417154e+00
1.584893192461114175e+01,5.098916681966848330e+00
1.621810097358929781e+01,5.084574183495439215e+00
1.659586907437563141e+01,5.069560520017058813e+00
1.698243652461745867e+01,5.053856535056356236e+00
1.737800828749376336e+01,5.037443218377895882e+00
1.778279410038922848e+01,5.020301776633127488e+00
1.819700858609982674e+01,5.002413709215988824e+00
1.862087136662865916e+01,4.983760889363875179e+00
1.905460717963248030e+01,4.964325650499419318e+00
1.949844599758045405e+01,4.944090877762153724e+00
1.995262314968882933e+01,4.923040104627300906e+00
2.041737944669531757e+01,4.901157614451971511e+00
2.089296130854040712e+01,4.878428546726699011e+00
2.137962089502232388e+01,4.854839007743080970e+00
2.187761623949552003e+01,4.830376185316364257e+00
2.238721138568337565e+01,4.805028467125755043e+00
2.290867652767769869e+01,4.778785562155666966e+00
2.344228815319922532e+01,4.751638624638752084e+00
2.398832919019489651e+01,4.723580379817471808e+00
2.454708915685033332e+01,4.694605250756114678e+00
2.511886431509582351e+01,4.664709485351203888e+00
2.570395782768864734e+01,4.633891282606082740e+00
2.630267991895381385e+01,4.602150917157451282e+00
2.691534803926913710e+01,4.569490860968869583e+00
2.754228703338163342e+01,4.535915901041134290e+00
2.818382931264454783e+01,4.501433251933687707e+00
2.884031503126605500e+01,4.466052661846988237e+00
2.951209226666390251e+01,4.429786510985007197e+00
3.019951720402018935e+01,4.392649900901952620e+00
3.090295432513591933e+01,4.354660733539427397e+00
3.162277660168379256e+01,4.315839778681768379e+00
3.235936569296281107e+01,4.276210728599358468e+00
3.311311214825907712e+01,4.235800238713722798e+00
3.388441561392026813e+01,4.194637953204958691e+00
3.467368504525316553e+01,4.152756514592099713e+00
3.548133892335760464e+01,4.110191556450042860e+00
3.630780547701017724e+01,4.066981678582705761e+00
3.715352290971727456e+01,4.023168404149258137e+00
3.801893963205612437e+01,3.978796118437875950e+00
3.890451449942804629e+01,3.933911989196479553e+00
3.981071705534969141e+01,3.888565868660158298e+00
4.073802778041122252e+01,3.842810177657034476e+00
4.168693834703355350e+01,3.796699772424493968e+00
4.265795188015925987e+01,3.750291795022124397e+00
4.365158322401665458e+01,3.703645508481877346e+00
4.466835921509634488e+01,3.656822118085928608e+00
4.570881896148751622e+01,3.609884580403334375e+00
4.677351412871981751e+01,3.562897401944487008e+00
4.786300923226380633e+01,3.515926429502675088e+00
4.897788193684456814e+01,3.469038634441802937e+00
5.011872336272724482e+01,3.422301893355095714e+00
5.128613839913648320e+01,3.375784767659265384e+00
5.248074602497733565e+01,3.329556284800289756e+00
5.370317963702532893e+01,3.283685723830465975e+00
5.495408738576248453e+01,3.238242408171201347e+00
5.623413251903490817e+01,3.193295508404395910e+00
5.754399373371566639e+01,3.148913857938521854e+00
5.888436553555884245e+01,3.105165784377780458e+00
6.025595860743580801e+01,3.062118959387879258e+00
6.165950018614822170e+01,3.019840269805647903e+00
6.309573444801942799e+01,2.978395712687928576e+00
6.456542290346563107e+01,2.937850316945592066e+00
6.606934480075963734e+01,2.898268094168415576e+00
6.760829753919819041e+01,2.859712021225596423e+00
6.918309709189362877e+01,2.822244057233576076e+00
7.079457843841373688e+01,2.785925197528395181e+00
7.244359600749891115e+01,2.750815567374667037e+00
7.413102413009177383e+01,2.716974558299075415e+00
7.585775750291836061e+01,2.684461010165381190e+00
7.762471166286927371e+01,2.653333442423132293e+00
7.943282347242821118e+01,2.623650338377411018e+00
8.128305161640996346e+01,2.595470486855704362e+00
8.317637711026708303e+01,2.568853386305283149e+00
8.511380382023759239e+01,2.543859717153857503e+00
8.709635899560795735e+01,2.520551889221307462e+00
8.912509381337459047e+01,2.498994672090907532e+00
9.120108393559097237e+01,2.479255917640324824e+00
9.332543007969924531e+01,2.461407385391510605e+00
9.549925860214368356e+01,2.445525682945522750e+00
9.772372209558110967e+01,2.431693335478128049e+00
1.000000000000000000e+02,2.419999999999999485e+00
1.023292992280753708e+02,2.410543841682073030e+00
1.047128548050898473e+02,2.403433090764173663e+00
1.071519305237609103e+02,2.398787799002442434e+00
1.096478196143182799e+02,2.396741813634145402e+00
1.122018454301965278e+02,2.397444983458709711e+00
1.148153621496884114e+02,2.401065604328350478e+00
1.174897554939530409e+02,2.407793097785678071e+00
1.202264434617413116e+02,2.417840893260897239e+00
1.230268770812381121e+02,2.431449445866772585e+00
1.258925411794166109e+02,2.448889260553057223e+00
1.288249551693132275e+02,2.470463697658174862e+00
1.318256738556410141e+02,2.496511187999471471e+00
1.348962882591650612e+02,2.527406263838266387e+00
1.380384264602886617e+02,2.563558482657976256e+00
1.412537544622755377e+02,2.605407840760532334e+00
1.445439770745927888e+02,2.653414591147371215e+00
1.479108388168207000e+02,2.708040441272657972e+00
1.513561248436207052e+02,2.769716877193550530e+00
1.548816618912479441e+02,2.838794877009388262e+00
1.584893192461111084e+02,2.915468743268612606e+00
1.621810097358932978e+02,2.999665754551377184e+00
1.659586907437563070e+02,3.090893989046485046e+00
1.698243652461746080e+02,3.188045141043016617e+00
1.737800828749376194e+02,3.289160677784289000e+00
1.778279410038922776e+02,3.391191991029329778e+00
1.819700858609982390e+02,3.489819960600891058e+00
1.862087136662865703e+02,3.579440673709274989e+00
1.905460717963252080e+02,3.653451001809316701e+00
1.949844599758041568e+02,3.704942036224727175e+00
1.995262314968882720e+02,3.727791419194368849e+00
2.041737944669531544e+02,3.717942977696852225e+00
2.089296130854040996e+02,3.674467710538568355e+00
2.137962089502232459e+02,3.599970179579356611e+00
2.187761623949551790e+02,3.500127597286328385e+00
2.238721138568337778e+02,3.382522996454036868e+00
2.290867652767769869e+02,3.255217317980363401e+00
2.344228815319927719e+02,3.125528608166768585e+00
2.398832919019485246e+02,2.999288883132843253e+00
2.454708915685033617e+02,2.880601652139435309e+00
2.511886431509581996e+02,2.771963997449620187e+00
2.570395782768864592e+02,2.674576798283823997e+00
2.630267991895381670e+02,2.588702388822528011e+00
2.691534803926913924e+02,2.513987209448860227e+00
2.754228703338163768e+02,2.449715924814198864e+00
2.818382931264449098e+02,2.394993644481891337e+00
2.884031503126611824e+02,2.348866988517003040e+00
2.951209226666390464e+02,2.310398769669911090e+00
3.019951720402019077e+02,2.278710095210382036e+00
3.090295432513592004e+02,2.253000909441937871e+00
3.162277660168379612e+02,2.232557023056760848e+00
3.235936569296280823e+02,2.216749160171387345e+00
3.311311214825907996e+02,2.205027653076817806e+00
3.388441561392034487e+02,2.196915071945943154e+00
3.467368504525309731e+02,2.191998171027937037e+00
3.548133892335760606e+02,2.189919943326074314e+00
3.630780547701018008e+02,2.190372203765361903e+00
3.715352290971728166e+02,2.193088893366978098e+00
3.801893963205612295e+02,2.197840162849796553e+00
3.890451449942804629e+02,2.204427218921167775e+00
3.981071705534968714e+02,2.212677877685533367e+00
4.073802778041122110e+02,2.222442752556232914e+00
4.168693834703364018e+02,2.233591999632028813e+00
4.265795188015916892e+02,2.246012546012933431e+00
4.365158322401665600e+02,2.259605732529804456e+00
4.466835921509634773e+02,2.274285309807161148e+00
4.570881896148752048e+02,2.289975734304121602e+00
4.677351412871981324e+02,2.306610718355100786e+00
4.786300923226380064e+02,2.324131994954787839e+00
4.897788193684456246e+02,2.342488263983135699e+00
5.011872336272714961e+02,2.361634291734978408e+00
5.128613839913658694e+02,2.381530140050565958e+00
5.248074602497733849e+02,2.402140505109116475e+00
5.370317963702532325e+02,2.423434149128038229e+00
5.495408738576247742e+02,2.445383410885273001e+00
5.623413251903491528e+02,2.467963783225864294e+00
5.754399373371566071e+02,2.491153547592391160e+00
5.888436553555884529e+02,2.514933457190623223e+00
6.025595860743593448e+02,2.539286461716350196e+00
6.165950018614809096e+02,2.564197467669201203e+00
6.309573444801943651e+02,2.589653129200102377e+00
6.456542290346562822e+02,2.615641665210362010e+00
6.606934480075965439e+02,2.642152699067976229e+00
6.760829753919817904e+02,2.669177117850089598e+00
6.918309709189362593e+02,2.696706948478217125e+00
7.079457843841372551e+02,2.724735248498127760e+00
7.244359600749891115e+02,2.753256009581584784e+00
7.413102413009191878e+02,2.782264072102204278e+00
7.585775750291820714e+02,2.811755049370526116e+00
7.762471166286927655e+02,2.841725260311230628e+00
7.943282347242821970e+02,2.872171669533092775e+00
8.128305161640994356e+02,2.903091833885814488e+00
8.317637711026709439e+02,2.934483854719495799e+00
8.511380382023759239e+02,2.966346335167148407e+00
8.709635899560796588e+02,2.998678341859903895e+00
8.912509381337441710e+02,3.031479370561235509e+00
9.120108393559114575e+02,3.064749315272425001e+00
9.332543007969924247e+02,3.098488440418200707e+00
9.549925860214369777e+02,3.132697355770519554e+00
9.772372209558111535e+02,3.167376993810567587e+00
1.000000000000000000e+03,3.202528589265869030e+00
